,Edition,Played,Won,Loss,Tied,No result,% win,Home Win%,Away Win%,Neutral Win%,Status
0,IPL 2008,15,7,7,-,1,50%,4/7 (1 NR)= 66.7%,3/7= 42.86%,0/1=0%,Semifinalists
1,IPL 2009,15,10,5,-,-,66.67%,-,-,10/15= 66.67%,"League Stage Table Toppers, Semifinalists"
2,IPL 2010,14,7,7,-,-,50%,3/7= 42.9%,4/7= 57.1%,-,League stage
3,IPL 2011,14,4,9,-,1,30.77%,1/7 (1 NR)= 16.7%,3/7= 42.9%,-,League stage
4,IPL 2012,18,11,7,-,-,61.11%,5/8= 62.5%,6/9= 66.67%,0/1=0%,"League Stage Table Toppers, Playoffs"
5,IPL 2013,16,3,13,-,-,18.75%,3/8= 37.5%,0/8= 0%,-,League Stage
6,IPL 2014,14,2,12,-,-,14.28%,0/5= 0%,0/4= 0%,2/5=40%,League Stage
7,IPL 2015,14,5,8,-,1,35.70%,3/7= 42.9%,2/7 (1 NR)= 33.3%,-,League Stage
8,IPL 2016,14,7,7,-,-,50%,4/7 =57.1 %,3/7= 42.9%,-,League Stage
9,IPL 2017,14,6,8,-,-,42.85%,4/7 =57.1 %,2/7= 28.6%,-,League Stage
10,IPL 2018,14,5,9,-,-,35.71%,4/7 =57.1 %,1/7 =14.3 %,-,League stage
11,IPL 2019,15,10,5,-,-,64.27%,4/7 = 57.14%,5/7 = 71.43%,-,Semifinalist
12,Overall,176,76,96,-,3,43.93%,33/73 (2 NR)=45.21 %,25/74 (1 NR)= 33.78%,12/22= 54.54%,
